title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
Col. Josiah Parker,"John Ramage (b. Dublin, Ireland ca. 1748; d. Montreal, Quebec, Canada 1802)",Irish,Col. Josiah Parker,FALSE,Male,Miniature,ca. 1789,"https://ids.si.edu/ids/iiif/SAAM-1957.3.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.3_1]
"Col. Lewis Morris, IV",,,Col. Lewis Morris IV (b. 1752?; d. 1824),FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/NPG-9500236A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-9500236A_1]
Col. Nathaniel Darby,,,Col. Nathaniel Darby,FALSE,Male,Miniature,ca. 1798,"https://ids.si.edu/ids/iiif/SAAM-1999.87.7A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.7A_1]
Colonel Benjamin Stephenson,,,Benjamin Stephenson,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1976.56_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1976.56_1]
Colonel John Cox,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,John Cox,FALSE,Male,Miniature,1778,"https://ids.si.edu/ids/iiif/SAAM-1999.27.32_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.32_1]
Colonial Soldier,,,,FALSE,Male,Miniature,ca. 1770,"https://ids.si.edu/ids/iiif/SAAM-1950.4.14_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.14_1]
Conrad Wunder,,,Conrad Wunder,FALSE,Male,Miniature,1797,"https://ids.si.edu/ids/iiif/SAAM-1999.27.52_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.52_1]
Daniel Leonard,,,Daniel Leonard (b. 18 May 1740; d. 27 Jun 1829),FALSE,Male,Regular,ca. 1770,"https://ids.si.edu/ids/iiif/NPG-A8000002A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-A8000002A_1]
Daniel Morgan,,,Daniel Morgan (b. 1736; d. 6 Jul 1802),FALSE,Male,Regular,ca. 1780,"https://ids.si.edu/ids/iiif/NPG-NPG_2001_3Morgan-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_3Morgan-000002]
David Livingston,"Joseph Wood (b. Clarkstown, NY 1778; Washington, DC 1830)",American,David Livingston,FALSE,Male,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1999.27.51_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.51_1]
David McClellan,"Benjamin Trott (b. Boston, MA ca. 1770; d. Washington, DC 1843)",American,David McClellan,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1956.7.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.7.1_1]
David Ramsay,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,David Ramsay (b. 2 Apr 1749; d. 8 May 1815),FALSE,Male,Regular,1771,"https://ids.si.edu/ids/iiif/NPG-B4000160A_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-B4000160A_2]
David Rittenhouse,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,David Rittenhouse (b. 8 Apr 1732; d. 26 Jun 1796),FALSE,Male,Regular,1796,"https://ids.si.edu/ids/iiif/NPG-NPG_98_73Rittenhouse_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_73Rittenhouse_d1]
David Wiley,Charles Peale Polk (b. 17 Mar 1767; 6 May 1822),American,David Wiley (b. ca. 1768; d. ca. 1813),FALSE,Male,Regular,ca. 1801,"https://ids.si.edu/ids/iiif/NPG-NPG_87_244Wiley-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_244Wiley-000001]
